,item_id,user_id,sentiment_analysis,recommend,app_name,rating
0,227300,js41637,2,True,Euro Truck Simulator 2,5
1,239030,js41637,2,True,"Papers, Please",5
2,370360,evcentric,2,True,TIS-100,5
3,237930,evcentric,2,True,Transistor,5
4,263360,evcentric,1,True,3089 -- Futuristic Action RPG,3
5,107200,evcentric,2,True,Space Pirates and Zombies,5
6,224500,evcentric,2,True,Gnomoria,5
7,250320,doctr,2,True,The Wolf Among Us,5
8,20920,doctr,2,True,The Witcher 2: Assassins of Kings Enhanced Edition,5
9,204100,doctr,2,True,Max Payne 3,5
10,224600,doctr,2,True,Defiance,5
11,207610,doctr,2,True,The Walking Dead,5
12,108710,doctr,2,True,Alan Wake,5
13,211420,maplemage,1,True,DARK SOULS™: Prepare To Die™ Edition,3
14,211820,maplemage,2,True,Starbound,5
15,730,maplemage,2,True,Counter-Strike: Global Offensive,5
16,204300,maplemage,2,True,Awesomenauts - the 2D moba,5
17,249130,Wackky,1,True,LEGO® Marvel™ Super Heroes,3
18,207610,Wackky,0,True,The Walking Dead,1
19,550,Wackky,2,True,Left 4 Dead 2,5
20,65800,Wackky,2,True,Dungeon Defenders,5
21,220,Wackky,2,True,Half-Life 2,5
22,4000,WeiEDKrSat,1,True,Garry's Mod,3
23,42910,thequeenpanda,1,True,Magicka,3
24,232090,death-hunter,2,True,Killing Floor 2,5
25,1250,death-hunter,2,True,Killing Floor,5
26,4000,death-hunter,2,True,Garry's Mod,5
27,304930,DJKamBer,2,True,Unturned,5
28,570,DJKamBer,2,True,Dota 2,5
29,218620,DJKamBer,2,True,PAYDAY 2,5
30,224260,DJKamBer,2,True,No More Room in Hell,5
31,1250,DJKamBer,0,True,Killing Floor,1
32,440,DJKamBer,2,True,Team Fortress 2,5
33,730,Rainbow-Dashie,2,True,Counter-Strike: Global Offensive,5
34,440,Rainbow-Dashie,2,True,Team Fortress 2,5
35,49520,Rainbow-Dashie,1,True,Borderlands 2,3
36,220200,MarbleShrine,2,True,Kerbal Space Program,5
37,211820,PPanther,2,True,Starbound,5
38,440,devvonst,2,True,Team Fortress 2,5
39,218740,devvonst,2,True,Pid,5
40,550,devvonst,2,True,Left 4 Dead 2,5
41,238090,starkillershadow553,2,True,Sniper Elite 3,5
42,277430,starkillershadow553,2,True,Halo: Spartan Assault,5
43,287980,tru_mu_,2,True,Mini Metro,5
44,221100,SavageEeEe,2,True,DayZ,5
45,331470,KanadeTheNeko,2,True,Everlasting Summer,5
46,4000,KanadeTheNeko,2,True,Garry's Mod,5
47,304930,GoAwayZach,2,True,Unturned,5
48,113200,OfficialShroomsy,2,True,The Binding of Isaac,5
49,440,boydeer,1,True,Team Fortress 2,3
50,213670,VVillis,2,True,South Park™: The Stick of Truth™,5
51,223710,diego9031,1,True,Cry of Fear,3
52,299360,diego9031,1,True,Block N Load,3
53,322330,diego9031,1,True,Don't Starve Together,3
54,1250,diego9031,2,True,Killing Floor,5
55,12100,diego9031,1,True,Grand Theft Auto III,3
56,204360,diego9031,2,True,Castle Crashers®,5
57,440,diego9031,1,True,Team Fortress 2,3
58,224260,diego9031,2,True,No More Room in Hell,5
59,440,jarrodtrim,2,True,Team Fortress 2,5
60,440,Derp-e,2,True,Team Fortress 2,5
61,298630,Rivtex,1,True,The Escapists,3
62,244210,UTNerd24,2,True,Assetto Corsa,5
63,440,UTNerd24,1,True,Team Fortress 2,3
64,376920,UTNerd24,2,True,Tiki Man,5
65,257750,UTNerd24,2,True,Bloody Trapland,5
66,221910,UTNerd24,1,True,The Stanley Parable,3
67,2280,UTNerd24,2,True,Ultimate Doom,5
68,417860,sandwiches1,1,False,Emily is Away,2
69,218620,lucaswerg,2,True,PAYDAY 2,5
70,222880,lucaswerg,1,True,Insurgency,3
71,377160,Life-Of-Blu,2,True,Fallout 4,5
72,211820,Life-Of-Blu,2,True,Starbound,5
73,252490,CaptianAutismo,0,True,Rust,1
74,251990,kube134,2,True,Long Live The Queen,5
75,344760,iamthekingofbrowntown,0,False,Reign Of Kings,0
76,252950,iamthekingofbrowntown,1,True,Rocket League®,3
77,399730,iamthekingofbrowntown,2,True,Rocket League® - Revenge of the Battle-Cars DLC Pack,5
78,377160,yookobz,2,True,Fallout 4,5
79,219150,yookobz,2,True,Hotline Miami,5
80,277430,Posiblydead,2,True,Halo: Spartan Assault,5
81,239820,Posiblydead,2,True,Game Dev Tycoon,5
82,17410,Posiblydead,2,True,Mirror's Edge™,5
83,440,Mossy_Gaming,2,True,Team Fortress 2,5
84,212070,sad-commie,0,True,Star Conflict,1
85,264140,sad-commie,1,True,Pixel Piracy,3
86,35450,Coldaniel,2,True,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,5
87,440,Coldaniel,2,True,Team Fortress 2,5
88,236390,Coldaniel,2,True,War Thunder,5
89,351570,therealmorty,2,True,Killing Floor: Uncovered,5
90,212680,therealmorty,0,True,FTL: Faster Than Light,1
91,391540,Berserklejerker,2,True,Undertale,5
92,440,YoHuNz,1,True,Team Fortress 2,3
93,570,YoHuNz,1,True,Dota 2,3
94,440,possessioniskey,2,True,Team Fortress 2,5
95,113400,possessioniskey,2,True,APB Reloaded,5
96,730,whiteofwolfing,2,True,Counter-Strike: Global Offensive,5
97,265610,Nozomikat,2,True,Epic Battle Fantasy 4,5
98,264200,Nozomikat,1,True,One Finger Death Punch,3
99,417860,Nozomikat,2,True,Emily is Away,5
100,213670,Nozomikat,2,True,South Park™: The Stick of Truth™,5
101,210770,Nozomikat,2,True,Sanctum 2,5
102,351640,xfluttersx,2,True,Eternal Senia,5
103,105600,xfluttersx,2,True,Terraria,5
104,440,xfluttersx,2,True,Team Fortress 2,5
105,47870,xfluttersx,2,True,Need For Speed: Hot Pursuit,5
106,253710,ii_voltage_ii,2,False,theHunter Classic,4
107,339280,ii_voltage_ii,2,True,Strife®,5
108,203290,ii_voltage_ii,2,True,America's Army: Proving Grounds,5
109,550,Hirukaz,0,True,Left 4 Dead 2,1
110,730,StelerForYou,2,True,Counter-Strike: Global Offensive,5
111,211820,StelerForYou,2,True,Starbound,5
112,224260,Xx-Woods,2,True,No More Room in Hell,5
113,317360,Xx-Woods,2,True,Double Action: Boogaloo,5
114,295550,Xx-Woods,2,True,Royal Quest,5
115,250180,Xx-Woods,2,True,METAL SLUG 3,5
116,227940,Xx-Woods,0,True,Heroes & Generals,1
117,17520,Xx-Woods,1,True,Synergy,3
118,113420,Xx-Woods,2,True,Fallen Earth Free2Play,5
119,320760,kevinator23,0,True,Tokyo School Life,1
120,8850,kevinator23,2,True,BioShock® 2,5
121,233720,kevinator23,2,True,Surgeon Simulator,5
122,218620,kevinator23,2,True,PAYDAY 2,5
123,730,kevinator23,2,True,Counter-Strike: Global Offensive,5
124,220240,kevinator23,2,True,Far Cry 3,5
125,440,kevinator23,2,True,Team Fortress 2,5
126,333950,CatsWhale,2,True,Medieval Engineers,5
127,107410,CatsWhale,2,True,Arma 3,5
128,206210,CatsWhale,2,True,Gotham City Impostors Free to Play,5
129,730,mimimomoma,2,True,Counter-Strike: Global Offensive,5
130,209870,de_Butl3r,2,True,Blacklight: Retribution,5
131,440,Bluezap1,2,True,Team Fortress 2,5
132,730,Bluezap1,2,True,Counter-Strike: Global Offensive,5
133,362890,Bluezap1,2,True,Black Mesa,5
134,413850,Bluezap1,1,True,CS:GO Player Profiles,3
135,570,L1J1N,2,True,Dota 2,5
136,311560,Lord_Exploit,2,True,Assassin’s Creed® Rogue,5
137,322170,Lord_Exploit,2,True,Geometry Dash,5
138,440,AVATAR715,2,True,Team Fortress 2,5
139,248570,AVATAR715,0,True,Toribash,1
140,264140,AVATAR715,2,True,Pixel Piracy,5
141,4000,AVATAR715,2,True,Garry's Mod,5
142,266430,AVATAR715,2,True,Anarchy Arcade,5
143,316010,AVATAR715,2,True,Magic Duels,5
144,249570,AVATAR715,2,True,The Castle Doctrine,5
145,304930,A-Very-Sly-Person,1,True,Unturned,3
146,440,A-Very-Sly-Person,0,True,Team Fortress 2,1
147,301520,97396295,2,True,Robocraft,5
148,218230,97396295,2,False,PlanetSide 2,4
149,55230,DemonicWolvz,2,True,Saints Row: The Third,5
150,232090,DemonicWolvz,2,True,Killing Floor 2,5
151,4000,DemonicWolvz,1,True,Garry's Mod,3
152,206420,DemonicWolvz,2,True,Saints Row IV,5
153,224260,DemonicWolvz,2,True,No More Room in Hell,5
154,550,DemonicWolvz,2,True,Left 4 Dead 2,5
155,346110,DieMadchenschanderin,2,True,ARK: Survival Evolved,5
156,730,getf0kinn0sc0pedm9,2,True,Counter-Strike: Global Offensive,5
157,730,whodafuqisthisguilao,2,True,Counter-Strike: Global Offensive,5
158,370480,Magjiikal,2,True,Pixel Galaxy,5
159,1840,ohnospaghet,2,True,Source Filmmaker,5
160,440,ohnospaghet,2,True,Team Fortress 2,5
161,266210,ohnospaghet,2,True,One Way Heroics,5
162,264200,ohnospaghet,2,True,One Finger Death Punch,5
163,287700,2768820078,1,True,METAL GEAR SOLID V: THE PHANTOM PAIN,3
164,377160,2768820078,1,True,Fallout 4,3
165,221380,2768820078,1,True,Age of Empires II HD,3
166,333950,2768820078,1,True,Medieval Engineers,3
167,222420,2768820078,1,False,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,2
168,271590,2768820078,1,True,Grand Theft Auto V,3
169,298110,2768820078,1,True,Far Cry® 4,3
170,222440,2768820078,1,True,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,3
171,317470,2d4nk4m3,0,False,Cubic Castles,0
172,47410,2d4nk4m3,2,True,Stronghold Kingdoms,5
173,70,EizanAratoFujimaki,2,True,Half-Life,5
174,274980,TeCool,2,True,Influent,5
175,339280,TeCool,2,True,Strife®,5
176,570,2xDelorean,2,True,Dota 2,5
177,212680,2xDelorean,2,True,FTL: Faster Than Light,5
178,200210,2xDelorean,2,True,Realm of the Mad God,5
179,440,2xDelorean,2,True,Team Fortress 2,5
180,417860,washington_,2,True,Emily is Away,5
181,265610,nubquake123,2,True,Epic Battle Fantasy 4,5
182,31280,Pyromanic,2,True,Poker Night at the Inventory,5
183,4000,Pyromanic,2,True,Garry's Mod,5
184,240,Pyromanic,2,True,Counter-Strike: Source,5
185,252490,CobRazor,1,True,Rust,3
186,8930,relesprit,2,True,Sid Meier's Civilization® V,5
187,304930,WitchHunter4542,2,True,Unturned,5
188,237310,WitchHunter4542,1,True,Elsword,3
189,224260,WitchHunter4542,0,True,No More Room in Hell,1
190,230410,pwrt,2,True,Warframe,5
191,440,pwrt,2,True,Team Fortress 2,5
192,440,wantmahbody,2,True,Team Fortress 2,5
193,570,benedictcuminherbatch,2,True,Dota 2,5
194,218620,smashiroshh,2,True,PAYDAY 2,5
195,570,killbunny38,2,True,Dota 2,5
196,333930,killbunny38,1,False,Dirty Bomb®,2
197,271590,1337lolroflmao,2,True,Grand Theft Auto V,5
198,218620,1337lolroflmao,0,True,PAYDAY 2,1
199,7940,1337lolroflmao,2,True,Call of Duty® 4: Modern Warfare®,5
200,234190,1337lolroflmao,2,True,Receiver,5
201,10180,1337lolroflmao,2,True,Call of Duty®: Modern Warfare® 2,5
202,33900,1337lolroflmao,2,True,Arma 2,5
203,261030,1337lolroflmao,2,True,The Walking Dead: Season 2,5
204,243470,1337lolroflmao,2,True,Watch_Dogs™,5
205,302830,sithjjf,0,False,BLOCKADE 3D,0
206,212680,OzfurAtlas,0,True,FTL: Faster Than Light,1
207,236390,euzi,2,True,War Thunder,5
208,440,thisissohardtomakeoneup,1,True,Team Fortress 2,3
